x-axis,1,2
second,Volt,Volt
-50.00000E-03,+1.01236174E+00,+488.62304E-03
-49.95000E-03,+992.26124E-03,-2.42594979E+00
-49.90000E-03,+974.67330E-03,-2.70735683E+00
-49.85000E-03,+974.67330E-03,-2.78775883E+00
-49.80000E-03,+974.67330E-03,-2.86313572E+00
-49.75000E-03,+974.67330E-03,-2.58172869E+00
-49.70000E-03,+974.67330E-03,-2.70233170E+00
-49.65000E-03,+994.77380E-03,-2.06414075E+00
-49.60000E-03,+1.01236174E+00,-1.42092468E+00
-49.55000E-03,+992.26124E-03,-973.68850E-03
-49.50000E-03,+974.67330E-03,-370.67343E-03
-49.45000E-03,+992.26124E-03,+187.11551E-03
-49.40000E-03,+1.01236174E+00,+674.55269E-03
-49.35000E-03,+994.77380E-03,+1.19716575E+00
-49.30000E-03,+974.67330E-03,+1.80018081E+00
-49.25000E-03,+954.57279E-03,+2.11676373E+00
-49.20000E-03,+974.67330E-03,+2.27756774E+00
-49.15000E-03,+994.77380E-03,+2.27756774E+00
-49.10000E-03,+974.67330E-03,+2.35796975E+00
-49.05000E-03,+954.57279E-03,+2.24239187E+00
-49.00000E-03,+974.67330E-03,+1.95595971E+00
-48.95000E-03,+994.77380E-03,+1.59917579E+00
-48.90000E-03,+934.47229E-03,+1.31274363E+00
-48.85000E-03,+954.57279E-03,+875.55771E-03
-48.80000E-03,+974.67330E-03,+267.51751E-03
-48.75000E-03,+994.77380E-03,-94.29153E-03
-48.70000E-03,+974.67330E-03,-536.50258E-03
-48.65000E-03,+974.67330E-03,-1.09931664E+00
-48.60000E-03,+974.67330E-03,-1.42092468E+00
-48.55000E-03,+1.01487430E+00,-1.74253272E+00
-48.50000E-03,+974.67330E-03,-1.98373874E+00
-48.45000E-03,+994.77380E-03,-2.10434176E+00
-48.40000E-03,+974.67330E-03,-1.98373874E+00
-48.35000E-03,+974.67330E-03,-1.89831161E+00
-48.30000E-03,+1.01236174E+00,-1.65710558E+00
-48.25000E-03,+1.01487430E+00,-1.26012066E+00
-48.20000E-03,+974.67330E-03,-938.51262E-03
-48.15000E-03,+1.01487430E+00,-576.70358E-03
-48.10000E-03,+974.67330E-03,-209.86942E-03
-48.05000E-03,+1.01487430E+00,+187.11551E-03
-48.00000E-03,+974.67330E-03,+589.12555E-03
-47.95000E-03,+974.67330E-03,+991.13560E-03
-47.90000E-03,+974.67330E-03,+1.23736675E+00
-47.85000E-03,+992.26124E-03,+1.47354765E+00
-47.80000E-03,+974.67330E-03,+1.71475368E+00
