8.0	30.0
8.2	40.0
8.4	39.0
8.6	37.0
8.8	42.0
9.0	40.0
9.2	39.0
9.4	40.0
9.6	35.0
9.8	42.0
10.0	42.0
10.2	43.0
10.4	44.0
10.6	42.0
10.8	40.0
11.0	49.0
11.2	44.0
11.4	49.0
11.6	43.0
11.8	44.0
12.0	45.0
12.2	46.0
12.4	41.0
12.6	49.0
12.8	46.0
13.0	48.0
13.2	51.0
13.4	48.0
13.6	44.0
13.8	49.0
14.0	52.0
14.2	48.0
14.4	49.0
14.6	52.0
14.8	52.0
15.0	55.0
15.2	56.0
15.4	56.0
15.6	57.0
15.8	55.0
16.0	49.0
16.2	57.0
16.4	57.0
16.6	61.0
16.7	62.0
17.0	61.0
17.2	57.0
17.4	60.0
17.6	57.0
17.7	56.0
18.0	60.0
18.2	68.0
18.4	58.0
18.6	62.0
18.8	64.0
19.0	74.0
19.2	66.0
19.4	70.0
19.6	75.0
19.8	81.0
20.0	83.0
20.2	85.0
20.4	82.0
20.6	90.0
20.8	86.0
21.0	105.0
21.2	91.0
21.4	102.0
21.6	110.0
21.7	108.0
22.0	102.0
22.2	111.0
22.4	112.0
22.6	109.0
22.8	105.0
23.0	128.0
23.2	126.0
23.4	116.0
23.6	126.0
23.8	132.0
24.0	123.0
24.2	129.0
24.4	134.0
24.6	139.0
24.8	129.0
25.0	138.0
25.2	148.0
25.4	139.0
25.6	154.0
25.8	149.0
26.0	148.0
26.2	147.0
26.4	152.0
26.6	164.0
26.8	152.0
27.0	148.0
27.2	136.0
27.4	121.0
27.6	130.0
27.8	132.0
28.0	138.0
28.2	122.0
28.4	125.0
28.6	132.0
28.8	132.0
29.0	125.0
29.2	130.0
29.4	134.0
29.6	139.0
29.8	131.0
30.0	129.0
30.2	137.0
30.4	137.0
30.6	135.0
30.8	142.0
31.0	135.0
31.2	144.0
31.4	146.0
31.6	140.0
31.8	129.0
32.0	131.0
32.2	145.0
32.4	133.0
32.5	135.0
32.8	130.0
33.0	138.0
33.2	136.0
33.4	138.0
33.6	137.0
33.8	140.0
34.0	134.0
34.2	133.0
34.4	129.0
34.5	136.0
34.8	133.0
35.0	125.0
35.2	131.0
35.4	126.0
35.5	130.0
35.8	113.0
36.0	129.0
36.2	121.0
36.4	124.0
36.5	135.0
36.8	123.0
37.0	123.0
37.2	122.0
37.4	126.0
37.5	130.0
37.8	128.0
38.0	132.0
38.2	128.0
38.4	132.0
38.6	128.0
38.8	125.0
39.0	127.0
39.2	127.0
39.4	117.0
39.5	123.0
39.8	136.0
40.0	171.0
40.2	262.0
40.4	716.0
40.5	1191.0
40.8	1509.0
41.0	1415.0
41.2	561.0
41.4	228.0
41.5	192.0
41.8	180.0
42.0	175.0
42.2	162.0
42.4	160.0
42.6	166.0
42.8	162.0
43.0	165.0
43.2	159.0
43.4	167.0
43.6	168.0
43.8	185.0
44.0	194.0
44.2	231.0
44.4	314.0
44.5	565.0
44.8	2354.0
45.0	4253.0
45.2	5123.0
45.4	5209.0
45.5	4530.0
45.8	1036.0
46.0	248.0
46.2	181.0
46.4	155.0
46.5	142.0
46.8	136.0
47.0	119.0
47.2	121.0
47.4	121.0
47.6	111.0
47.8	112.0
48.0	101.0
48.2	106.0
48.4	104.0
48.6	100.0
48.8	105.0
49.0	96.0
49.2	99.0
49.4	94.0
49.6	93.0
49.8	89.0
50.0	85.0
50.2	92.0
50.4	91.0
50.6	88.0
50.8	89.0
51.0	85.0
51.2	86.0
51.4	81.0
51.6	75.0
51.8	84.0
52.0	74.0
52.2	80.0
52.4	81.0
52.6	82.0
52.8	81.0
53.0	68.0
53.2	75.0
53.4	72.0
53.6	67.0
53.8	72.0
54.0	68.0
54.2	67.0
54.4	70.0
54.6	59.0
54.8	58.0
55.0	64.0
55.2	64.0
55.4	57.0
55.6	55.0
55.8	59.0
56.0	56.0
56.2	52.0
56.4	52.0
56.6	53.0
56.8	51.0
57.0	51.0
57.2	55.0
57.4	57.0
57.6	56.0
57.8	50.0
58.0	50.0
58.2	44.0
58.4	50.0
58.6	46.0
58.8	50.0
59.0	48.0
59.2	50.0
59.4	42.0
59.6	46.0
59.8	44.0
60.0	37.0
