0.083	0.333
0.167	0.313
0.333	0.240
0.667	0.104
0.833	0.044
0.875	0.038
0.917	0.021
0.958	0.010
1.000	0.001
1.042	0.008
1.083	0.017
1.125	0.029
1.167	0.035
1.208	0.042
1.250	0.050
1.333	0.067
2.667	0.208
5.333	0.308
10.667	0.333
21.333	0.333
42.667	0.333
85.333	0.291
104.167	0.250
112.500	0.333
125.000	0.263
